id,abreviacion,nombre,domicilio,codigoPostal,numeroLongitud,numeroLatitud,entidad,estado,institucion,jurisdicciones_id,localidad,municipios_id,tipologia,nivelAtencion,activo
CSCIJ000015,NULL,"Centros de Integración Juvenil, A.C.",TUCHTLÁN,29045,-93.0741732,16.7525129,CHIAPAS,EN OPERACION,CENTROS DE INTEGRACION JUVENIL,1,TUXTLA GUTIERREZ,101,NO ESPECIFICADO,PRIMER NIVEL,1
CSCIJ000020,NULL,"Centros de Integración Juvenil, A.C.",NOVENA NORTE PROLONGACIÓN,30720,-92.249221,14.918705,CHIAPAS,EN OPERACION,CENTROS DE INTEGRACION JUVENIL,7,TAPACHULA DE CORDOVA Y ORDOÑEZ,89,NO ESPECIFICADO,PRIMER NIVEL,1
CSCRO000015,NULL,"CRUZ ROJA MEXICANA, DELEGACIÓN LOCAL EN COMITÁN",QUINTA NORTE PONIENTE,30069,-92.1465859,16.2517539,CHIAPAS,EN OPERACION,CRUZ ROJA MEXICANA,3,COMITAN DE DOMINGUEZ,19,NO ESPECIFICADO,PRIMER NIVEL,1
CSCRO000020,NULL,"CRUZ ROJA MEXICANA, DELEGACIÓN LOCAL EN SAN CRISTÓBAL",IGNACIO ALLENDE,29278,-92.6415333,16.7265983,CHIAPAS,EN OPERACION,CRUZ ROJA MEXICANA,2,SAN CRISTOBAL DE LAS CASAS,78,NO ESPECIFICADO,PRIMER NIVEL,1
CSCRO000032,NULL,"CRUZ ROJA MEXICANA, DELEGACIÓN LOCAL EN TAPACHULA",NOVENA NORTE ESQUINA 1A ORIENTE,30700,-92.258139,14.904837,CHIAPAS,EN OPERACION,CRUZ ROJA MEXICANA,7,TAPACHULA DE CORDOVA Y ORDOÑEZ,89,NO ESPECIFICADO,SEGUNDO NIVEL,1
CSCRO000044,NULL,"CRUZ ROJA MEXICANA, DELEGACIÓN LOCAL EN TUXTLA GUTIÉRREZ",QUINTA NORTE PONIENTE,29000,-93.1302972,16.7606379,CHIAPAS,EN OPERACION,CRUZ ROJA MEXICANA,1,TUXTLA GUTIERREZ,101,NO ESPECIFICADO,PRIMER NIVEL,1
CSCRO000056,NULL,"CRUZ ROJA MEXICANA, DELEGACIÓN LOCAL EN CHILÓN",VICENTE GUERRERO,29940,-92.2723,17.1035,CHIAPAS,EN OPERACION,CRUZ ROJA MEXICANA,9,CHILON,31,NO ESPECIFICADO,PRIMER NIVEL,1
CSCRO000061,NULL,CRUZ ROJA MEXICANA,NOVENA NORTE ESQUINA 1A ORIENTE,30700,-92.2578,14.9047,CHIAPAS,FUERA DE OPERACION,CRUZ ROJA MEXICANA,7,TAPACHULA DE CORDOVA Y ORDOÑEZ,89,NO ESPECIFICADO,SEGUNDO NIVEL,3
CSDIF000014,NULL,UNIDAD MOVIL DE LA MUJER,OCTAVA PONIENTE NORTE,29000,-93.1228,16.757,CHIAPAS,EN OPERACION,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,1,TUXTLA GUTIERREZ,101,NO ESPECIFICADO,PRIMER NIVEL,1
CSDIF000023,NULL,CENTRO DE REHABILITACIÓN INTEGRAL DEL SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DEL ESTADO DE CHIAPAS,LIBRAMIENTO NORTE ORIENTE SALOMÓN GONZÁLEZ BLANCO,29045,-93.07915,16.754448,CHIAPAS,EN OPERACION,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,1,TUXTLA GUTIERREZ,101,NO ESPECIFICADO,PRIMER NIVEL,1
CSIMO000013,NULL,ACACOYAGUA,DOMICILIO CONOCIDO,30844,-92.6761,15.3419,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,ACACOYAGUA,1,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000025,NULL,LOS CACAOS,DOMICILIO CONOCIDO,30844,-92.6566,15.3892,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,LOS CACAOS,1,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000030,NULL,LAS GOLONDRINAS,DOMICILIO CONOCIDO,30843,-92.6515,15.4339,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,LAS GOLONDRINAS,1,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000042,NULL,HIDALGO (ACACOYAGUA),DOMICILIO CONOCIDO,30840,-92.7424,15.3476,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,HIDALGO,1,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000054,NULL,NUEVA LIBERTAD (ACACOYAGUA),DOMICILIO CONOCIDO,30650,-92.706,15.4062,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,NUEVA LIBERTAD,1,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000066,NULL,ADOLFO LÓPEZ MATEOS (ACALA),DOMICILIO CONOCIDO,29376,-92.8936,16.6109,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,ADOLFO LOPEZ MATEOS,2,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000071,NULL,UNIÓN BUENAVISTA (ACALA),DOMICILIO CONOCIDO,29387,-92.8172,16.4854,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,UNION BUENAVISTA,2,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000083,NULL,20 DE NOVIEMBRE (ACALA),DOMICILIO CONOCIDO,29380,-92.8958,16.5409,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,20 DE NOVIEMBRE,123,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000095,NULL,NUEVO VICENTE GUERRERO (EL CHICHONAL),DOMICILIO CONOCIDO,29383,-92.8707,16.4856,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,1,NUEVO VICENTE GUERRERO (EL CHICHONAL),123,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000100,NULL,COLOMBIA,DOMICILIO CONOCIDO,30587,-92.6564,15.2344,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,COLOMBIA,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000112,NULL,CONSUELO ULAPA,DOMICILIO CONOCIDO,30623,-92.7935,15.3845,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,CONSUELO ULAPA,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
CSIMO000124,NULL,LUIS ESPINOZA (ACAPETAHUA),DOMICILIO CONOCIDO,30633,-92.6912,15.1899,CHIAPAS,EN OPERACION,INSTITUTO MEXICANO DEL SEGURO SOCIAL BIENESTAR,7,LUIS ESPINOZA,3,UNIDAD MÉDICA RURAL,PRIMER NIVEL,1
